Year	PC1	PC2
1964.125	-1.94413575102981	0.112812884184358
1964.20833333333	-1.79760902666442	0.206764659143871
1964.29166666667	-1.65189250256749	0.303282102348065
1964.375	-1.54127954491932	0.358383323960017
1964.45833333333	-1.43471415142488	0.358269568314371
1964.54166666667	-1.33154144271022	0.299035861225568
1964.625	-1.21970128571652	0.204492387534921
1964.70833333333	-1.11868740113275	0.08242677224727
1964.79166666667	-1.05864638411725	0.00694401003293061
1964.875	-1.06010592724574	0.0252200849730852
1964.95833333333	-1.10436306102727	0.0975648892454178
1965.04166666667	-1.1292580990879	0.134391165127246
1965.125	-1.1364715850205	0.112803892737599
1965.20833333333	-1.16444099355939	0.0805629023156387
1965.29166666667	-1.22292450316632	0.0501247810553524
1965.375	-1.26901708922694	0.00826112454841467
1965.45833333333	-1.25711677998169	-0.033734621993978
1965.54166666667	-1.21575795843869	-0.0498009606372754
1965.625	-1.17206126973849	-0.0456754482381654
1965.70833333333	-1.12186859975481	-0.0422077944979481
1965.79166666667	-1.03667363955915	-0.0456472581297533
1965.875	-0.914779857528387	-0.0667240673970518
1965.95833333333	-0.795220554916867	-0.124431488401084
1966.04166666667	-0.722284160771072	-0.198455602785405
1966.125	-0.713900826743416	-0.258804696504964
1966.20833333333	-0.761506166094559	-0.2968814418342
1966.29166666667	-0.798791604845429	-0.342868833489138
1966.375	-0.795815902778787	-0.390276096909756
1966.45833333333	-0.739317138314208	-0.399517797353302
1966.54166666667	-0.697631544598897	-0.363879381913301
1966.625	-0.660274595493554	-0.291547730241114
1966.70833333333	-0.587648540635837	-0.213350981978605
1966.79166666667	-0.455749872008679	-0.134710756866181
1966.875	-0.312871335910692	-0.0602454579275499
1966.95833333333	-0.222809742956826	0.0185194114305344
1967.04166666667	-0.162673408926497	0.0955278105459399
1967.125	-0.106338589965251	0.157140372069417
1967.20833333333	-0.0287120796219358	0.185265510954129
1967.29166666667	0.106097111099062	0.207669463594942
1967.375	0.297209621225029	0.222494282574379
1967.45833333333	0.500127000717971	0.222688613901032
1967.54166666667	0.631679603816722	0.198790393063325
1967.625	0.651988704968193	0.146242907953219
1967.70833333333	0.589913953980587	0.0750508489342133
1967.79166666667	0.443096747052538	0.0185354871622162
1967.875	0.262999472756971	0.0237532176379865
1967.95833333333	0.0913414793033318	0.113493753491479
1968.04166666667	-0.0400160594101913	0.221987159112611
1968.125	-0.162382852621792	0.277571009496399
1968.20833333333	-0.298614871634274	0.27983428057147
1968.29166666667	-0.433724373406292	0.289511090558843
1968.375	-0.567117201362164	0.350933702295528
1968.45833333333	-0.719247405863264	0.410692455432467
1968.54166666667	-0.867247963587247	0.448118826145402
1968.625	-1.0008012301964	0.509858608724057
1968.70833333333	-1.10213451455687	0.640463996884937
1968.79166666667	-1.182332180165	0.828943645815125
1968.875	-1.1925305108869	0.98496753904515
1968.95833333333	-1.11660677070312	1.06475774920906
1969.04166666667	-1.00458069694578	1.07040833613918
1969.125	-0.933860686909864	1.06681946199594
1969.20833333333	-0.891423585613485	1.12496071679621
1969.29166666667	-0.819133677835508	1.25406640106875
1969.375	-0.689952995598304	1.42133921511872
1969.45833333333	-0.548394360565237	1.59551272967611
1969.54166666667	-0.436531436400955	1.76585518271965
1969.625	-0.365058054900096	1.94786378944035
1969.70833333333	-0.316147467186962	2.10512015752019
1969.79166666667	-0.245885616793305	2.20202665076526
1969.875	-0.122643502441838	2.2129634842309
1969.95833333333	0.0135959415354666	2.16660151940875
1970.04166666667	0.094706366612754	2.10469320488606
1970.125	0.076639294185466	2.04789559302754
1970.20833333333	0.0326678171867505	2.00405769571443
1970.29166666667	0.0484934208092547	1.97320826475643
1970.375	0.1279565598008	1.96311555124827
1970.45833333333	0.185484681484874	1.98373934440317
1970.54166666667	0.183207401622687	1.99288973486223
1970.625	0.175473832263279	1.97109251450899
1970.70833333333	0.207860159087843	1.94260956728685
1970.79166666667	0.235484244801722	1.94583294051638
1970.875	0.215664455317718	1.96808774357738
1970.95833333333	0.148364684081001	1.95115244671631
1971.04166666667	0.0880778236858561	1.89941819953807
1971.125	0.0929091678840502	1.86020126565471
1971.20833333333	0.242606985790857	1.85834501545673
1971.29166666667	0.51420479593254	1.85021542180604
1971.375	0.791578791983465	1.76240633950039
1971.45833333333	0.952902396949034	1.57923544391817
1971.54166666667	1.01192680712071	1.3608509489851
1971.625	1.07166585038897	1.17967971981333
1971.70833333333	1.19309398478701	1.06132951935399
1971.79166666667	1.37697609203534	0.971864782926921
1971.875	1.58427212525166	0.892914081031215
1971.95833333333	1.77675350149354	0.831189838774543
1972.04166666667	1.9484743198792	0.811360453606689
1972.125	2.10865622049875	0.827258816737206
1972.20833333333	2.26754287817979	0.835682395692499
1972.29166666667	2.37982166164985	0.833785444156794
1972.375	2.42188943804367	0.841544415596768
1972.45833333333	2.46257916900518	0.894410368767259
1972.54166666667	2.58403984153216	0.986497734260538
1972.625	2.80872544469262	1.08864794538407
1972.70833333333	3.04766152083893	1.15836769782968
1972.79166666667	3.18842975844872	1.19011455574342
1972.875	3.18761826444835	1.20501691686922
1972.95833333333	3.11063597991241	1.22933599368352
1973.04166666667	3.06205126709237	1.22777470253728
1973.125	3.08825512934572	1.1640210625929
1973.20833333333	3.1456227953636	1.03265169192482
1973.29166666667	3.1655274723608	0.874539234300235
1973.375	3.10858419269098	0.735236164760777
1973.45833333333	3.00169352481902	0.622240778378061
1973.54166666667	2.84617955098949	0.485774914950626
1973.625	2.61581769891132	0.339671917489764
1973.70833333333	2.30546605090583	0.210248112248496
1973.79166666667	1.98916080372139	0.116566818160104
1973.875	1.79348684683973	0.00685759774443719
1973.95833333333	1.74420352423227	-0.164074263211375
1974.04166666667	1.7894135341539	-0.370655297771077
1974.125	1.81395185590869	-0.592705505852573
1974.20833333333	1.74218733238922	-0.803251832972521
1974.29166666667	1.58362917643365	-0.946975816910158
1974.375	1.41314477928992	-0.99880641302273
1974.45833333333	1.32448590376019	-0.971128521829973
1974.54166666667	1.32627565788855	-0.965869252254693
1974.625	1.3439561642798	-1.00490049891489
1974.70833333333	1.36195489138096	-1.06151564684531
1974.79166666667	1.39273410138097	-1.12313535078399
1974.875	1.48613187087249	-1.185975401192
1974.95833333333	1.59654386210401	-1.22519178768117
1975.04166666667	1.67469174447839	-1.19915664746227
1975.125	1.70524833310148	-1.08345796387283
1975.20833333333	1.71219156256408	-0.877306289273286
1975.29166666667	1.76875383724238	-0.597155138585926
1975.375	1.89518046140764	-0.305644246343372
1975.45833333333	2.00854744668919	-0.0215097999524403
1975.54166666667	2.0314439130962	0.263613958135676
1975.625	1.93609443764832	0.541765361722798
1975.70833333333	1.79412009297728	0.763581721678981
1975.79166666667	1.65666888077163	0.915230218082007
1975.875	1.55734016856002	1.04004549901883
1975.95833333333	1.47518804500117	1.15995047033531
1976.04166666667	1.35526205998185	1.28482500467755
1976.125	1.15007650211959	1.3855177340645
1976.20833333333	0.881506470846786	1.44627875292854
1976.29166666667	0.594310986915424	1.41225365121105
1976.375	0.309743244731834	1.25826428309613
1976.45833333333	-0.000912950795260234	1.05381963045533
1976.54166666667	-0.291009111148133	0.856750625658373
1976.625	-0.481377639428835	0.6579308920378
1976.70833333333	-0.550912657226506	0.396503723931192
1976.79166666667	-0.54980436384925	0.101261716737059
1976.875	-0.547278001840079	-0.129687654278644
1976.95833333333	-0.578958864162194	-0.256190021932239
1977.04166666667	-0.651640420060711	-0.295499886204041
1977.125	-0.758123740271695	-0.291541227038825
1977.20833333333	-0.814061168366063	-0.298980040616272
1977.29166666667	-0.746334004930171	-0.326581374434763
1977.375	-0.569793539055003	-0.347957090473187
1977.45833333333	-0.338085797598324	-0.259858630461252
1977.54166666667	-0.115247528557771	-0.0639370895059782
1977.625	0.10805443018054	0.146463945751037
1977.70833333333	0.305958711276994	0.29082030384175
1977.79166666667	0.435362726787305	0.384305649449463
1977.875	0.493596611618973	0.499146875868773
1977.95833333333	0.501249457342283	0.646034005235572
1978.04166666667	0.510966324165931	0.818653602687564
1978.125	0.53519694480949	0.978238646655223
1978.20833333333	0.597555475107472	1.06848580861674
1978.29166666667	0.707721216991784	1.09996251573878
1978.375	0.778933531261754	1.17365088095649
1978.45833333333	0.754531775070879	1.32202992300817
1978.54166666667	0.636556236751988	1.45345471281382
1978.625	0.502088363450627	1.45491079736701
1978.70833333333	0.388475465911777	1.3674080320755
1978.79166666667	0.287921088398691	1.2673377338194
1978.875	0.248769713094642	1.18695259917249
1978.95833333333	0.273539795234711	1.11913448071507
1979.04166666667	0.314468244257677	1.06961797982292
1979.125	0.307786087676522	1.01399273415164
1979.20833333333	0.238125335700931	0.920774271926205
1979.29166666667	0.145018854192203	0.801395267087186
1979.375	0.0490979741808356	0.66624859501119
1979.45833333333	0.0150450438508789	0.471284482647898
1979.54166666667	0.0488805402941354	0.184167751209099
1979.625	0.105809834124073	-0.145892684470226
1979.70833333333	0.151545131082164	-0.424572862319681
1979.79166666667	0.176347215495823	-0.637205255931022
1979.875	0.20283506468036	-0.79308401263167
1979.95833333333	0.153496939471113	-0.894288644557827
1980.04166666667	-0.00476444919250722	-0.937960038716236
1980.125	-0.22547527756077	-0.959642636034229
1980.20833333333	-0.434476531067618	-0.997695106633724
1980.29166666667	-0.589435645039077	-1.0719982006115
1980.375	-0.698967997265549	-1.1806950639859
1980.45833333333	-0.796831724290244	-1.30098406200028
1980.54166666667	-0.941068910076303	-1.34829412926261
1980.625	-1.14941303346928	-1.2889347599567
1980.70833333333	-1.34118985385369	-1.17745129906099
