Year	PC1	PC2
1968.875	-1.00689671751302	0.565944951649343
1968.95833333333	-0.507535565207432	0.586832068343383
1969.04166666667	-0.155504100661666	0.583813407037898
1969.125	-0.0550804828104497	0.578172225878822
1969.20833333333	-0.157505762114603	0.596880601902831
1969.29166666667	-0.275435930554075	0.63888929050497
1969.375	-0.277169992360896	0.67689987725577
1969.45833333333	-0.179724497751951	0.694705411535578
1969.54166666667	-0.0819181160336377	0.707684788181758
1969.625	-0.0254328291878772	0.725284173989296
1969.70833333333	-0.0600269198544172	0.736028945519077
1969.79166666667	-0.193498903289814	0.704782422395769
1969.875	-0.434185675684378	0.614609443390598
1969.95833333333	-0.748113564003038	0.495155389330979
1970.04166666667	-1.0598217053506	0.369302228011315
1970.125	-1.25513582845189	0.258417734717263
1970.20833333333	-1.22153163288022	0.156420976840765
1970.29166666667	-0.992528927140999	0.0536402407199303
1970.375	-0.72249527567602	-0.0498633513945034
1970.45833333333	-0.539450470779146	-0.144518722204686
1970.54166666667	-0.501837792785663	-0.199196788509598
1970.625	-0.578899049519482	-0.203211495713092
1970.70833333333	-0.719104057044669	-0.210770203390883
1970.79166666667	-0.82936391948742	-0.247133883190615
1970.875	-0.846971694152994	-0.313438568721275
1970.95833333333	-0.783964740813098	-0.356906554697912
1971.04166666667	-0.617397898767796	-0.343030361361489
1971.125	-0.329492297374927	-0.289230704296917
1971.20833333333	-0.0249031770566787	-0.240226655230055
1971.29166666667	0.108645845952038	-0.245125721850194
1971.375	0.00391699890534588	-0.320045474873717
1971.45833333333	-0.163088327402789	-0.43072602856966
1971.54166666667	-0.247365987167708	-0.567762034606195
1971.625	-0.239760762289642	-0.706549356588513
1971.70833333333	-0.208093660883234	-0.854149404206914
1971.79166666667	-0.141895104849927	-1.01384417084514
1971.875	-0.0105346900438651	-1.19148570341221
1971.95833333333	0.193709912114641	-1.41585560278125
1972.04166666667	0.411097487540701	-1.69121618754298
1972.125	0.543798442356061	-2.00232949162807
1972.20833333333	0.496474916721655	-2.30511125544669
1972.29166666667	0.32289006047871	-2.54026880956474
1972.375	0.202996893678074	-2.69678395989907
1972.45833333333	0.251043061219643	-2.77142934581175
1972.54166666667	0.390046244210293	-2.77186167405997
1972.625	0.506249003334576	-2.71898203296593
1972.70833333333	0.566594518414361	-2.66085800365566
1972.79166666667	0.616067899181816	-2.65555310890397
1972.875	0.669896599228641	-2.69986624918579
1972.95833333333	0.710036689059612	-2.75092986441643
1973.04166666667	0.69226119358241	-2.76635612192132
1973.125	0.562569306775482	-2.71350383943877
1973.20833333333	0.381415354079996	-2.60057004832739
1973.29166666667	0.241725383924951	-2.45155293292963
1973.375	0.192566296912535	-2.31079469778556
1973.45833333333	0.205886246155655	-2.20365005670008
1973.54166666667	0.245120758044923	-2.12571338174825
1973.625	0.302876999045887	-2.07136734929189
1973.70833333333	0.334503295867036	-2.03765489893336
1973.79166666667	0.313399242483074	-2.01660818818122
1973.875	0.292907649045129	-2.0169050792415
1973.95833333333	0.291442016046985	-2.02450957408089
1974.04166666667	0.293293073121086	-2.02204453643215
1974.125	0.254597906473663	-1.96744154112566
1974.20833333333	0.194651299548593	-1.85208849890261
1974.29166666667	0.166111803729458	-1.70121594373952
1974.375	0.17901286384116	-1.55134710073469
1974.45833333333	0.249228199615235	-1.43257025764518
1974.54166666667	0.341933688511843	-1.37204261560217
1974.625	0.385635054154567	-1.36443286027825
1974.70833333333	0.348233559754602	-1.40116626358236
1974.79166666667	0.266766705100288	-1.4677401980262
1974.875	0.213002820277979	-1.56049408631197
1974.95833333333	0.214618752785868	-1.60540530029735
1975.04166666667	0.31013740433135	-1.51312657743408
1975.125	0.51331140511254	-1.2757731174017
1975.20833333333	0.782308079561548	-0.979280740989539
1975.29166666667	1.04739365714816	-0.700052234956212
1975.375	1.28396759096874	-0.450570458890226
1975.45833333333	1.48695790808058	-0.24214011159331
1975.54166666667	1.6265498420146	-0.0874469044638224
1975.625	1.69880924647294	0.037891899393769
1975.70833333333	1.76250179789237	0.19109395880237
1975.79166666667	1.86457132156926	0.40791311713791
1975.875	2.02188863998736	0.682444179362071
1975.95833333333	2.15037299756464	1.01219866423927
1976.04166666667	2.20863488277688	1.37975963615277
1976.125	2.16355969199432	1.70881133643801
1976.20833333333	2.01555995949509	1.93368771418058
1976.29166666667	1.8042227555344	2.03891146176153
1976.375	1.55578615872998	2.07949520496034
1976.45833333333	1.34387242857299	2.0981184648891
